Zachos Time delta_18O(Myr BP),Zachos Time delta_18O(0/00),Time delta_18O(Myr BP),Time delta_18O(0/00),Tdo(C),Ts(C),SL(m)
0.44,5.05,0.439,4.758,-1.21,9.83,-109.7
0.44,4.89,0.4401,4.716,-1.15,9.95,-106.6
0.441,4.27,0.4413,4.746,-1.19,9.86,-108.8
0.4417,4.69,0.4421,4.678,-1.09,10.06,-103.8
0.444,4.83,0.4431,4.586,-0.96,10.33,-97.2
0.444,4.71,0.444,4.658,-1.07,10.12,-102.4
0.445,4.43,0.4451,4.68,-1.1,10.06,-104
0.4453,4.63,0.4459,4.626,-1.02,10.21,-100.1
0.447,4.8,0.4471,4.534,-0.88,10.48,-93.4
0.448,4.56,0.4485,4.65,-1.05,10.14,-101.8
0.45,4.25,0.4498,4.64,-1.04,10.17,-101.1
0.452,5.01,0.4509,4.534,-0.88,10.48,-93.4
0.452,4.58,0.4521,4.444,-0.75,10.75,-86.8
0.4526,4.27,0.453,4.376,-0.65,10.95,-81.9
0.454,4.11,0.4536,4.336,-0.59,11.06,-79
0.4545,3.91,0.4544,4.342,-0.6,11.05,-79.4
0.455,4.81,0.4554,4.294,-0.53,11.19,-75.9
0.456,4.61,0.4566,4.302,-0.54,11.16,-76.5
0.4577,4.03,0.4577,4.428,-0.73,10.79,-85.7
0.46,4.15,0.4589,4.42,-0.72,10.82,-85.1
0.46,4.54,0.46,4.372,-0.65,10.96,-81.6
0.461,4.77,0.4613,4.406,-0.7,10.86,-84.1
0.4613,4.37,0.4621,4.468,-0.79,10.68,-88.6
0.464,4.2,0.463,4.446,-0.75,10.74,-87
0.464,4.46,0.4638,4.332,-0.59,11.08,-78.7
0.4645,4.43,0.4649,4.334,-0.59,11.07,-78.8
0.465,4.2,0.4657,4.36,-0.63,10.99,-80.7
0.467,4.38,0.4666,4.266,-0.49,11.27,-73.9
0.468,4.33,0.4675,4.302,-0.54,11.16,-76.5
0.4686,3.99,0.4687,4.396,-0.68,10.89,-83.3
0.469,4.61,0.4695,4.504,-0.84,10.57,-91.2
0.471,4.67,0.4703,4.482,-0.81,10.64,-89.6
0.471,4.92,0.4711,4.436,-0.74,10.77,-86.3
0.472,4.22,0.4721,4.342,-0.6,11.05,-79.4
0.4723,3.76,0.4729,4.178,-0.36,11.53,-67.5
0.474,4.14,0.4738,3.898,0.05,12.35,-47.1
0.475,3.85,0.4746,3.894,0.06,12.36,-46.8
0.4759,3.52,0.4758,3.946,-0.02,12.21,-50.6
0.476,4.2,0.4769,3.884,0.07,12.39,-46.1
0.478,4.02,0.4779,3.996,-0.09,12.06,-54.3
0.4795,3.83,0.4787,4.114,-0.27,11.72,-62.8
0.48,4.41,0.4797,4.138,-0.3,11.65,-64.6
0.48,4.11,0.4805,4.118,-0.27,11.7,-63.1
0.481,4.32,0.4812,4.142,-0.31,11.63,-64.9
0.482,3.92,0.4818,3.986,-0.08,12.09,-53.5
0.483,3.95,0.4826,3.932,0,12.25,-49.6
0.483,3.63,0.4834,3.826,0.16,12.56,-41.9
0.484,3.84,0.484,3.814,0.17,12.6,-41
0.4849,3.79,0.4844,3.848,0.12,12.5,-43.5
0.485,3.86,0.4852,3.876,0.08,12.41,-45.5
0.485,4.12,0.486,3.764,0.25,12.74,-37.4
0.487,3.77,0.4866,3.748,0.27,12.79,-36.2
0.488,3.28,0.4876,3.666,0.39,13.03,-30.3
0.488,3.71,0.4889,3.636,0.43,13.12,-28.1
0.49,3.45,0.4899,3.596,0.49,13.23,-25.2
0.4914,3.97,0.4907,3.666,0.39,13.03,-30.3
0.492,3.57,0.4917,3.714,0.32,12.89,-33.8
0.492,3.63,0.4927,3.732,0.29,12.84,-35
0.493,3.95,0.4936,3.67,0.38,13.02,-30.5
0.495,3.54,0.4946,3.684,0.36,12.98,-31.6
0.496,3.66,0.4957,3.806,0.18,12.62,-40.4
0.497,3.64,0.4967,3.756,0.26,12.77,-36.8
0.4973,4.24,0.4977,3.806,0.18,12.62,-40.4
0.498,3.7,0.4987,3.852,0.12,12.48,-43.8
0.5,3.79,0.4997,3.874,0.08,12.42,-45.4
0.501,3.89,0.5008,3.81,0.18,12.61,-40.7
0.502,3.75,0.502,3.85,0.12,12.49,-43.6
0.503,3.92,0.503,3.914,0.03,12.3,-48.3
0.504,3.9,0.504,4.052,-0.18,11.9,-58.3
0.505,4.11,0.5048,4.03,-0.14,11.96,-56.7
0.5058,4.58,0.5058,4.032,-0.15,11.96,-56.9
0.506,3.64,0.5066,4.042,-0.16,11.93,-57.6
0.508,3.93,0.5078,4.058,-0.19,11.88,-58.8
0.508,3.95,0.5088,3.938,-0.01,12.23,-50
0.511,4.19,0.51,4.014,-0.12,12.01,-55.6
0.511,3.98,0.511,4.064,-0.19,11.86,-59.2
0.512,4.02,0.5126,4.052,-0.18,11.9,-58.3
0.513,4.18,0.5136,4.05,-0.17,11.9,-58.2
0.516,3.89,0.5148,4.16,-0.33,11.58,-66.2
0.516,4.18,0.5158,4.192,-0.38,11.49,-68.5
0.5168,4.53,0.5172,4.186,-0.37,11.5,-68.1
0.517,4.18,0.5182,4.158,-0.33,11.59,-66
0.52,4.15,0.5196,4.118,-0.27,11.7,-63.1
0.521,3.75,0.521,4.024,-0.14,11.98,-56.3
0.523,3.98,0.5226,3.928,0.01,12.26,-49.3
0.524,4.06,0.5238,3.87,0.09,12.43,-45.1
0.525,3.7,0.5252,3.928,0.01,12.26,-49.3
0.526,3.86,0.5265,4.038,-0.16,11.94,-57.3
0.528,4.04,0.5277,3.998,-0.1,12.06,-54.4
0.5295,4.53,0.5289,4.042,-0.16,11.93,-57.6
0.53,3.86,0.5301,4.11,-0.26,11.73,-62.5
0.531,3.92,0.5315,4.14,-0.31,11.64,-64.7
0.532,4.2,0.5328,3.988,-0.08,12.09,-53.7
0.535,4.19,0.534,4.07,-0.2,11.84,-59.6
0.536,3.77,0.5358,4.176,-0.36,11.53,-67.3
0.536,4.27,0.5374,4.192,-0.38,11.49,-68.5
0.54,4.45,0.5386,4.22,-0.42,11.4,-70.6
0.54,4.28,0.5398,4.322,-0.57,11.11,-78
0.541,4.33,0.5414,4.348,-0.61,11.03,-79.8
0.5422,4.28,0.5424,4.398,-0.68,10.88,-83.5
0.544,4.4,0.5434,4.378,-0.65,10.94,-82
0.545,4.7,0.5448,4.39,-0.67,10.91,-82.9
0.545,4.18,0.5462,4.47,-0.79,10.67,-88.7
0.548,4.39,0.5474,4.448,-0.76,10.74,-87.1
0.549,4.68,0.5488,4.364,-0.63,10.98,-81
0.55,4.29,0.5506,4.492,-0.82,10.61,-90.3
0.552,4.28,0.5518,4.426,-0.72,10.8,-85.5
0.554,4.82,0.553,4.34,-0.6,11.05,-79.3
0.554,4.06,0.5542,4.334,-0.59,11.07,-78.8
0.5549,4.25,0.5554,4.372,-0.65,10.96,-81.6
0.556,4.26,0.5562,4.206,-0.4,11.45,-69.5
0.558,4.47,0.5574,4.224,-0.43,11.39,-70.8
0.558,3.99,0.5588,4.14,-0.31,11.64,-64.7
0.56,4.15,0.5604,4.1,-0.25,11.76,-61.8
0.562,3.83,0.5618,4.068,-0.2,11.85,-59.5
0.564,4.06,0.5636,3.99,-0.09,12.08,-53.8
0.565,4.31,0.5651,3.902,0.04,12.34,-47.4
0.567,3.6,0.5663,3.92,0.02,12.28,-48.7
0.5676,3.71,0.5677,3.854,0.11,12.48,-43.9
0.568,3.92,0.5689,3.776,0.23,12.71,-38.3
0.5707,3.73,0.5697,3.772,0.23,12.72,-38
0.571,3.92,0.5705,3.78,0.22,12.7,-38.5
0.571,3.58,0.5716,3.764,0.25,12.74,-37.4
0.572,3.75,0.5723,3.756,0.26,12.77,-36.8
0.5735,3.84,0.5731,3.69,0.35,12.96,-32
0.574,3.69,0.5741,3.674,0.38,13.01,-30.8
0.575,3.59,0.5751,3.546,0.57,13.38,-21.5
0.576,3.5,0.576,3.442,0.72,13.69,-14
0.577,3.11,0.577,3.516,0.61,13.47,-19.4
0.578,3.32,0.578,3.558,0.55,13.35,-22.4
0.579,4.06,0.5788,3.574,0.52,13.3,-23.6
0.58,3.8,0.5795,3.698,0.34,12.94,-32.6
0.58,3.58,0.5803,3.766,0.24,12.74,-37.5
0.5805,3.73,0.5811,3.78,0.22,12.7,-38.5
0.5821,3.66,0.5819,3.792,0.21,12.66,-39.4
0.583,4.13,0.5828,3.814,0.17,12.6,-41
0.584,3.86,0.5837,3.968,-0.05,12.14,-52.2
0.5846,3.69,0.5847,4.032,-0.15,11.96,-56.9
0.585,4.5,0.5857,4.018,-0.13,12,-55.8
0.587,3.98,0.5866,3.966,-0.05,12.15,-52.1
0.588,4.06,0.5876,4,-0.1,12.05,-54.5
0.5883,3.6,0.5889,3.836,0.14,12.53,-42.6
0.5898,3.86,0.5899,3.774,0.23,12.71,-38.1
0.5915,3.68,0.5907,3.77,0.24,12.72,-37.8
0.592,3.67,0.5917,3.768,0.24,12.73,-37.7
0.592,4.04,0.5928,3.692,0.35,12.95,-32.2
0.593,3.59,0.5937,3.694,0.35,12.95,-32.3
0.5954,3.48,0.5945,3.72,0.31,12.87,-34.2
0.596,3.69,0.5953,3.672,0.38,13.01,-30.7
0.596,3.8,0.5959,3.734,0.29,12.83,-35.2
0.596,3.8,0.596,3.758,0.25,12.76,-37
0.596,3.9,0.596,3.8,0.19,12.64,-40
0.596,3.6,0.5961,3.744,0.28,12.8,-35.9
0.596,3.9,0.5969,3.75,0.27,12.78,-36.4
0.5967,3.52,0.5979,3.616,0.46,13.18,-26.6
0.6,3.83,0.5989,3.786,0.21,12.68,-39
0.6009,3.23,0.5999,3.776,0.23,12.71,-38.3
0.601,4.45,0.6014,3.868,0.09,12.44,-45
0.601,3.85,0.6024,3.8,0.19,12.64,-40
0.604,3.98,0.6034,4,-0.1,12.05,-54.5
0.605,3.49,0.6048,3.904,0.04,12.33,-47.6
0.606,4.23,0.6064,3.866,0.1,12.44,-44.8
0.608,3.97,0.6076,3.816,0.17,12.59,-41.2
0.6092,3.66,0.609,3.78,0.22,12.7,-38.5
0.61,3.73,0.6102,3.804,0.19,12.63,-40.3
0.612,3.31,0.611,3.748,0.27,12.79,-36.2
0.612,4.35,0.612,3.74,0.28,12.81,-35.6
0.612,3.69,0.6131,3.684,0.36,12.98,-31.6
0.614,3.62,0.6139,3.7,0.34,12.93,-32.7
0.6154,3.45,0.6148,3.556,0.55,13.35,-22.3
0.616,3.39,0.6158,3.388,0.8,13.85,-10
0.6166,3.63,0.6168,3.314,0.91,14.06,-4.7
0.617,2.85,0.6176,3.422,0.75,13.75,-12.5
0.619,3.25,0.6184,3.484,0.66,13.56,-17
0.6192,3.99,0.619,3.504,0.63,13.51,-18.5
0.62,3.7,0.6199,3.75,0.27,12.78,-36.4
0.62,3.73,0.6207,3.89,0.06,12.37,-46.5
0.6211,4.08,0.6214,3.976,-0.06,12.12,-52.8
0.623,3.95,0.6222,4.118,-0.27,11.7,-63.1
0.623,4.42,0.6232,4.18,-0.36,11.52,-67.6
0.624,4.41,0.6244,4.33,-0.58,11.08,-78.6
0.625,4.04,0.6254,4.542,-0.89,10.46,-94
0.627,4.83,0.6264,4.53,-0.88,10.5,-93.1
0.628,5.01,0.6272,4.606,-0.99,10.27,-98.6
0.628,4.36,0.6282,4.754,-1.21,9.84,-109.4
0.628,4.79,0.629,4.644,-1.04,10.16,-101.4
0.63,4.78,0.6298,4.654,-1.06,10.13,-102.1
0.631,4.28,0.6306,4.798,-1.27,9.71,-112.6
0.632,5.06,0.632,4.796,-1.27,9.72,-112.4
0.632,5.08,0.6332,4.836,-1.33,9.6,-115.3
0.635,4.78,0.6342,4.978,-1.53,9.18,-125.7
0.636,4.98,0.6354,4.878,-1.39,9.47,-118.4
0.636,4.99,0.637,4.796,-1.27,9.72,-112.4
0.638,4.56,0.638,4.806,-1.28,9.69,-113.2
0.6399,4.67,0.639,4.762,-1.22,9.81,-110
0.64,4.83,0.6402,4.636,-1.03,10.18,-100.8
0.6413,4.76,0.6414,4.68,-1.1,10.06,-104
0.642,4.36,0.6423,4.676,-1.09,10.07,-103.7
0.644,4.78,0.6435,4.542,-0.89,10.46,-94
0.6443,4.65,0.6449,4.494,-0.82,10.6,-90.5
0.646,4.16,0.6461,4.58,-0.95,10.35,-96.7
0.648,4.52,0.6471,4.476,-0.8,10.65,-89.2
0.648,4.79,0.6486,4.49,-0.82,10.61,-90.2
0.649,4.26,0.65,4.516,-0.86,10.54,-92.1
0.652,4.72,0.6516,4.53,-0.88,10.5,-93.1
0.653,4.29,0.6534,4.422,-0.72,10.81,-85.2
0.656,4.59,0.655,4.49,-0.82,10.61,-90.2
0.657,4.25,0.6566,4.456,-0.77,10.71,-87.7
0.6572,4.6,0.658,4.448,-0.76,10.74,-87.1
0.6598,4.55,0.6588,4.434,-0.74,10.78,-86.1
0.66,4.25,0.6599,4.502,-0.84,10.58,-91.1
0.66,4.52,0.6613,4.406,-0.7,10.86,-84.1
0.6625,4.59,0.6621,4.4,-0.69,10.88,-83.6
0.664,4.12,0.6634,4.452,-0.76,10.72,-87.4
0.664,4.52,0.6649,4.436,-0.74,10.77,-86.3
0.6664,4.51,0.666,4.324,-0.58,11.1,-78.1
0.6678,4.44,0.6668,4.39,-0.67,10.91,-82.9
0.668,4.03,0.6682,4.336,-0.59,11.06,-79
0.668,4.45,0.6691,4.218,-0.42,11.41,-70.4
0.6708,4.25,0.67,4.202,-0.4,11.46,-69.2
0.671,3.92,0.671,4.182,-0.37,11.52,-67.8
0.672,4.36,0.6722,4.274,-0.5,11.25,-74.5
0.6731,3.93,0.673,4.238,-0.45,11.35,-71.8
0.674,4.91,0.674,4.222,-0.43,11.4,-70.7
0.675,4.07,0.6748,4.206,-0.4,11.45,-69.5
0.6757,3.84,0.6755,4.35,-0.61,11.02,-80
0.676,4.28,0.6764,4.124,-0.28,11.69,-63.6
0.677,4.65,0.6774,4.206,-0.4,11.45,-69.5
0.6784,3.78,0.6783,4.274,-0.5,11.25,-74.5
0.68,4.48,0.6793,4.162,-0.34,11.57,-66.3
0.68,4.18,0.6805,4.084,-0.22,11.8,-60.7
0.681,3.72,0.6815,4.04,-0.16,11.93,-57.5
0.683,4.26,0.6823,3.94,-0.01,12.23,-50.2
0.6837,3.56,0.6833,3.776,0.23,12.71,-38.3
0.684,3.98,0.6843,3.858,0.11,12.47,-44.2
0.685,3.36,0.685,3.7,0.34,12.93,-32.7
0.686,4.13,0.6859,3.742,0.28,12.81,-35.8
0.6864,3.47,0.6869,3.63,0.44,13.14,-27.6
0.688,3.77,0.6879,3.654,0.41,13.06,-29.4
0.689,3.42,0.6891,3.552,0.56,13.36,-22
0.69,3.48,0.6902,3.594,0.5,13.24,-25
0.692,3.62,0.6914,3.526,0.6,13.44,-20.1
0.692,3.68,0.6924,3.514,0.61,13.48,-19.2
0.694,3.43,0.6936,3.518,0.61,13.46,-19.5
0.694,3.36,0.6944,3.544,0.57,13.39,-21.4
0.696,3.5,0.6956,3.526,0.6,13.44,-20.1
0.696,3.75,0.6968,3.626,0.45,13.15,-27.4
0.6978,3.59,0.6982,3.682,0.37,12.98,-31.4
0.7,3.93,0.6992,3.68,0.37,12.99,-31.3
0.701,3.64,0.7008,3.7,0.34,12.93,-32.7
0.701,3.49,0.702,3.818,0.17,12.58,-41.3
0.704,3.85,0.703,3.742,0.28,12.81,-35.8
0.704,4.18,0.7044,3.8,0.19,12.64,-40
0.705,3.55,0.7058,3.962,-0.04,12.16,-51.8
0.7078,3.93,0.7074,4.06,-0.19,11.87,-58.9
0.708,4.3,0.7092,4.1,-0.25,11.76,-61.8
0.712,4.34,0.7108,4.228,-0.43,11.38,-71.1
0.713,4.38,0.7122,4.41,-0.7,10.85,-84.4
0.713,4.19,0.7136,4.322,-0.57,11.11,-78
0.715,4.84,0.7144,4.324,-0.58,11.1,-78.1
0.715,3.86,0.7151,4.354,-0.62,11.01,-80.3
0.716,4.35,0.7165,4.43,-0.73,10.79,-85.8
0.7165,4.53,0.7175,4.336,-0.59,11.06,-79
0.72,4.57,0.7191,4.43,-0.73,10.79,-85.8
0.72,4.37,0.7206,4.448,-0.76,10.74,-87.1
0.723,4.33,0.7221,4.402,-0.69,10.87,-83.8
0.7235,4.44,0.7231,4.254,-0.47,11.31,-73
0.724,4.3,0.7245,4.264,-0.49,11.28,-73.8
0.725,3.83,0.7255,4.238,-0.45,11.35,-71.8
0.7269,4.42,0.7268,4.14,-0.31,11.64,-64.7
0.728,4.2,0.7281,4.09,-0.23,11.79,-61.1
0.73,3.95,0.7295,4.168,-0.35,11.56,-66.8
0.7304,4.05,0.7309,4.04,-0.16,11.93,-57.5
0.732,4.22,0.7321,3.998,-0.1,12.06,-54.4
0.7339,3.78,0.7333,3.988,-0.08,12.09,-53.7
0.734,3.99,0.7344,4.024,-0.14,11.98,-56.3
0.736,3.9,0.7358,3.984,-0.08,12.1,-53.4
0.736,4.23,0.737,4.068,-0.2,11.85,-59.5
0.739,4.02,0.7384,4.076,-0.21,11.83,-60.1
0.74,4.2,0.7398,4.146,-0.31,11.62,-65.2
0.7409,4.03,0.7414,4.13,-0.29,11.67,-64
0.743,4.25,0.7425,4.144,-0.31,11.63,-65
0.744,4.15,0.7435,4.16,-0.33,11.58,-66.2
0.7448,4.09,0.7449,4.236,-0.45,11.36,-71.7
0.745,4.28,0.7459,4.212,-0.41,11.43,-70
0.7478,4.41,0.7474,4.292,-0.53,11.19,-75.8
0.748,4.13,0.7488,4.312,-0.56,11.13,-77.2
0.7513,4.55,0.7508,4.362,-0.63,10.99,-80.9
0.752,4.19,0.7522,4.412,-0.7,10.84,-84.5
0.7548,4.53,0.7536,4.462,-0.78,10.69,-88.2
0.755,4.66,0.7546,4.408,-0.7,10.85,-84.2
0.755,4.38,0.7556,4.43,-0.73,10.79,-85.8
0.756,4.28,0.7562,4.474,-0.8,10.66,-89
0.757,4.3,0.7569,4.438,-0.74,10.77,-86.4
0.758,4.75,0.7579,4.456,-0.77,10.71,-87.7
0.7583,4.48,0.7587,4.456,-0.77,10.71,-87.7
0.76,4.47,0.7595,4.382,-0.66,10.93,-82.3
0.76,4.28,0.7602,4.306,-0.55,11.15,-76.8
0.761,3.93,0.7612,4.208,-0.41,11.44,-69.7
0.7618,4.37,0.762,4.148,-0.32,11.62,-65.3
0.763,3.99,0.763,4.156,-0.33,11.59,-65.9
0.764,4.17,0.764,4.192,-0.38,11.49,-68.5
0.7653,4.32,0.7651,4.158,-0.33,11.59,-66
0.766,4.11,0.7661,4.184,-0.37,11.51,-67.9
0.7671,4.2,0.7669,4.16,-0.33,11.58,-66.2
0.768,4.12,0.7676,4.124,-0.28,11.69,-63.6
0.768,4.05,0.7688,4.078,-0.21,11.82,-60.2
0.769,4.14,0.7702,4.03,-0.14,11.96,-56.7
0.772,3.88,0.7716,4.01,-0.11,12.02,-55.3
0.7741,3.96,0.7732,3.942,-0.01,12.22,-50.3
0.775,4.02,0.775,3.83,0.15,12.55,-42.2
0.776,3.71,0.7766,3.796,0.2,12.65,-39.7
0.7778,3.58,0.7778,3.722,0.31,12.87,-34.3
0.78,3.71,0.7796,3.572,0.53,13.31,-23.4
0.78,3.59,0.7812,3.55,0.56,13.37,-21.8
0.784,3.27,0.7826,3.584,0.51,13.27,-24.3
0.784,3.6,0.7842,3.698,0.34,12.94,-32.6
0.7848,3.75,0.7858,3.808,0.18,12.61,-40.6
0.788,4.28,0.7866,3.918,0.02,12.29,-48.6
0.788,4.14,0.7878,3.984,-0.08,12.1,-53.4
0.788,3.82,0.789,4.178,-0.36,11.53,-67.5
0.79,3.93,0.7898,4.154,-0.33,11.6,-65.8
0.791,4.72,0.7908,4.258,-0.48,11.29,-73.3
0.792,4.16,0.7924,4.382,-0.66,10.93,-82.3
0.793,4.66,0.7936,4.478,-0.8,10.65,-89.3
0.796,4.44,0.7947,4.428,-0.73,10.79,-85.7
0.796,4.41,0.7959,4.46,-0.77,10.7,-88
0.7966,4.47,0.7971,4.432,-0.73,10.78,-86
0.7977,4.32,0.7979,4.404,-0.69,10.86,-83.9
0.7994,4.52,0.7987,4.4,-0.69,10.88,-83.6
0.8,4.3,0.8001,4.338,-0.6,11.06,-79.1
0.8,4.39,0.8014,4.336,-0.59,11.06,-79
0.8035,4.16,0.8025,4.27,-0.5,11.26,-74.2
0.804,4.31,0.8037,4.298,-0.54,11.18,-76.2
0.805,4.19,0.8051,4.32,-0.57,11.11,-77.8
0.806,4.44,0.806,4.322,-0.57,11.11,-78
0.807,4.5,0.8068,4.208,-0.41,11.44,-69.7
0.808,4.17,0.808,4.104,-0.25,11.74,-62.1
0.8082,3.74,0.8092,3.982,-0.07,12.1,-53.2
0.811,3.67,0.8102,3.898,0.05,12.35,-47.1
0.812,3.83,0.8118,3.864,0.1,12.45,-44.7
0.812,4.08,0.8134,3.93,0,12.26,-49.5
0.816,4,0.8148,3.944,-0.02,12.21,-50.5
0.816,4.07,0.8164,3.988,-0.08,12.09,-53.7
0.8182,3.74,0.8184,3.888,0.06,12.38,-46.4
0.82,4.05,0.82,3.872,0.09,12.43,-45.2
0.822,3.58,0.8216,3.838,0.14,12.53,-42.8
0.824,3.92,0.8231,3.852,0.12,12.48,-43.8
0.824,3.9,0.8247,3.812,0.18,12.6,-40.9
0.8253,3.81,0.8267,3.92,0.02,12.28,-48.7
0.828,3.85,0.8283,3.892,0.06,12.37,-46.7
0.832,4.12,0.8304,3.878,0.08,12.41,-45.7
0.832,3.78,0.8325,3.878,0.08,12.41,-45.7
0.8347,3.83,0.8341,3.864,0.1,12.45,-44.7
0.836,3.81,0.8357,3.774,0.23,12.71,-38.1
0.836,3.78,0.8373,3.764,0.25,12.74,-37.4
0.84,3.67,0.839,3.71,0.33,12.9,-33.5
0.84,3.73,0.8404,3.598,0.49,13.23,-25.3
0.843,3.56,0.842,3.568,0.53,13.32,-23.1
0.843,3.25,0.8436,3.542,0.57,13.39,-21.2
0.844,3.63,0.8452,3.514,0.61,13.48,-19.2
0.8478,3.54,0.8468,3.576,0.52,13.29,-23.7
0.848,3.59,0.8486,3.648,0.42,13.08,-29
0.851,3.87,0.8503,3.588,0.5,13.26,-24.6
0.852,3.61,0.8519,3.624,0.45,13.15,-27.2
0.8527,3.33,0.8543,3.64,0.43,13.11,-28.4
0.856,3.72,0.8561,3.438,0.72,13.7,-13.7
0.8598,3.67,0.8577,3.46,0.69,13.63,-15.3
0.86,2.86,0.8596,3.628,0.45,13.14,-27.5
0.86,3.72,0.8612,3.626,0.45,13.15,-27.4
0.8623,4.17,0.8623,3.762,0.25,12.75,-37.2
0.864,3.71,0.8638,3.96,-0.04,12.17,-51.6
0.865,4.35,0.8654,4.056,-0.18,11.89,-58.6
0.8678,3.85,0.8674,4.15,-0.32,11.61,-65.4
0.868,4.2,0.869,4.32,-0.57,11.11,-77.8
0.872,4.64,0.8706,4.37,-0.64,10.96,-81.4
0.872,4.56,0.8722,4.518,-0.86,10.53,-92.2
0.873,4.6,0.8742,4.558,-0.92,10.41,-95.1
0.876,4.59,0.8758,4.536,-0.89,10.48,-93.5
0.8781,4.4,0.8777,4.386,-0.67,10.92,-82.6
0.88,4.53,0.8799,4.414,-0.71,10.84,-84.7
0.8812,3.81,0.8815,4.38,-0.66,10.94,-82.2
0.884,4.74,0.8827,4.368,-0.64,10.97,-81.3
0.884,4.42,0.8841,4.318,-0.57,11.12,-77.7
0.8843,4.34,0.8855,4.432,-0.73,10.78,-86
0.887,4.28,0.8867,4.346,-0.61,11.03,-79.7
0.888,4.38,0.8879,4.366,-0.64,10.98,-81.2
0.89,4.31,0.8891,4.284,-0.52,11.22,-75.2
0.89,4.52,0.8901,4.308,-0.55,11.15,-76.9
0.8904,3.93,0.8911,4.288,-0.52,11.21,-75.5
0.892,4.4,0.8923,4.252,-0.47,11.31,-72.9
0.893,4.28,0.8935,4.208,-0.41,11.44,-69.7
0.896,4.13,0.8947,4.242,-0.45,11.34,-72.2
0.896,4.3,0.8957,4.126,-0.28,11.68,-63.7
0.8966,4.1,0.8971,4.112,-0.26,11.72,-62.7
0.897,3.82,0.8983,4.124,-0.28,11.69,-63.6
0.9,4.21,0.8997,4.072,-0.21,11.84,-59.8
0.902,4.19,0.9012,4.032,-0.15,11.96,-56.9
0.9031,4.04,0.9026,4.096,-0.24,11.77,-61.5
0.904,3.9,0.9038,4.076,-0.21,11.83,-60.1
0.904,4.14,0.905,4.028,-0.14,11.97,-56.6
0.9058,4.11,0.906,4.05,-0.17,11.9,-58.2
0.908,3.95,0.9069,4.05,-0.17,11.9,-58.2
0.908,4.15,0.9079,3.976,-0.06,12.12,-52.8
0.9089,3.9,0.909,3.912,0.03,12.31,-48.2
0.909,3.77,0.9096,3.96,-0.04,12.17,-51.6
0.911,3.79,0.9104,3.948,-0.02,12.2,-50.8
0.911,4.19,0.911,4.014,-0.12,12.01,-55.6
0.9119,4.09,0.9119,4.072,-0.21,11.84,-59.8
0.912,4.23,0.9127,4.21,-0.41,11.43,-69.8
0.9134,4.06,0.9137,4.286,-0.52,11.21,-75.3
0.915,4.48,0.9145,4.324,-0.58,11.1,-78.1
0.916,4.57,0.9158,4.152,-0.32,11.6,-65.6
0.916,4.28,0.9171,4.19,-0.38,11.49,-68.4
0.9186,3.37,0.9189,4.15,-0.32,11.61,-65.4
0.92,4.25,0.9205,4.02,-0.13,11.99,-56
0.9237,4.28,0.9221,3.98,-0.07,12.11,-53.1
0.924,3.92,0.9239,4.104,-0.25,11.74,-62.1
0.924,4.08,0.9255,4.04,-0.16,11.93,-57.5
0.9276,3.99,0.9265,3.998,-0.1,12.06,-54.4
0.928,3.93,0.928,3.978,-0.07,12.11,-53
0.929,4.07,0.9296,3.928,0.01,12.26,-49.3
0.9312,3.82,0.9308,3.892,0.06,12.37,-46.7
0.932,3.83,0.9324,3.816,0.17,12.59,-41.2
0.9336,3.81,0.9338,3.762,0.25,12.75,-37.2
0.936,3.55,0.9347,3.754,0.26,12.77,-36.7
0.936,3.8,0.9361,3.736,0.29,12.82,-35.3
0.936,3.78,0.9374,3.7,0.34,12.93,-32.7
0.939,3.74,0.9383,3.674,0.38,13.01,-30.8
0.94,3.63,0.9399,3.616,0.46,13.18,-26.6
0.9404,3.42,0.9415,3.546,0.57,13.38,-21.5
0.944,3.51,0.9425,3.514,0.61,13.48,-19.2
0.944,3.43,0.9433,3.494,0.64,13.53,-17.8
0.944,3.58,0.9445,3.486,0.65,13.56,-17.2
0.944,3.53,0.9453,3.48,0.66,13.58,-16.7
0.9464,3.38,0.9465,3.428,0.74,13.73,-12.9
0.948,3.48,0.948,3.368,0.83,13.9,-8.6
0.95,3.17,0.9496,3.352,0.85,13.95,-7.4
0.9517,3.28,0.9509,3.266,0.98,14.2,-1.2
0.952,3.45,0.9523,3.228,1.06,14.37,0.9
0.953,2.95,0.9535,3.23,1.05,14.36,0.8
0.9549,3.29,0.9544,3.334,0.88,14,-6.1
0.956,3.18,0.9556,3.336,0.87,14,-6.3
0.956,3.8,0.957,3.558,0.55,13.35,-22.4
0.958,3.46,0.958,3.796,0.2,12.65,-39.7
0.96,4.06,0.9592,4.006,-0.11,12.03,-55
0.96,4.48,0.9608,4.09,-0.23,11.79,-61.1
0.962,4.23,0.962,4.282,-0.51,11.22,-75.1
0.964,4.22,0.9632,4.24,-0.45,11.35,-72
0.9641,4.42,0.9646,4.164,-0.34,11.57,-66.5
0.9661,3.85,0.9658,4.144,-0.31,11.63,-65
0.967,4.1,0.9671,4.118,-0.27,11.7,-63.1
0.968,4.13,0.9685,4.01,-0.11,12.02,-55.3
0.9705,4.09,0.9697,4.018,-0.13,12,-55.8
0.971,3.88,0.9711,3.966,-0.05,12.15,-52.1
0.972,3.89,0.9727,3.83,0.15,12.55,-42.2
